,keyword,title,author,rating,rating_NUM,review_NUM,summary
28,deep learning,Engaging Children: Igniting a Drive for Deeper Learning,Ellin Oliver Keene,4.32,59,16,"What motivates us to learn? We all want our students to be engaged learners, but we often struggle with getting them excited about and responsible for their own learning.In Engaging Children, Ellin Oliver Keene explores the question: What can we do to help students develop internal motivation or, better yet, engagement? Differentiating between compliance, participation,"
29,deep learning,Deep Learning with PyTorch,"Eli Stevens, Luca Antiga",4.2,30,4,"Every other day we hear about new ways to put deep learning to good use: improved medical imaging, accurate credit card fraud detection, long range weather forecasting, and more. PyTorch puts these superpowers in your hands, providing a comfortable Python experience that gets you started quickly and then grows with you as youand your deep learning skillsbecome more"
30,deep learning,"Deep Learning Illustrated: A Visual, Interactive Guide to Artificial Intelligence (Addison-Wesley Data & Analytics Series)","Jon Krohn, Grant Beyleveld, Aglae Bassens",4.52,27,7,"""The authors clear visual style provides a comprehensive look at whats currently possible with artificial neural networks as well as a glimpse of the magic thats to come.""Tim Urban, author of Wait But Why Fully Practical, Insightful Guide to Modern Deep Learning Deep learning is transforming software, facilitating powerful new artificial intelligence capabilities, and"
31,deep learning,Cultivating Curiosity in K-12 Classrooms: How to Promote and Sustain Deep Learning,Wendy L Ostroff,3.92,78,16,"Curiosity comes from within--we just have to know how to unleash it.We learn by engaging and exploring, asking questions and testing out answers. Yet our classrooms are not always places where such curiosity is encouraged and supported. Cultivating Curiosity in K-12 Classrooms describes how teachers can create a structured, student-centered environment that allows for"
32,deep learning,Natural Language Processing with Pytorch: Build Intelligent Language Applications Using Deep Learning,Delip Rao,3.95,21,5,"Natural Language Processing (NLP) provides boundless opportunities for solving problems in artificial intelligence, making products such as Amazon Alexa and Google Translate possible. If you're a developer or data scientist new to NLP and deep learning, this practical guide shows you how to apply these methods using PyTorch, a Python-based deep learning library.Authors"
33,deep learning,Deep Learning with Keras: Implementing deep learning models and neural networks with the power of Python,"Antonio Gulli, Sujit Pal",3.98,40,5,"Key Features Implement various deep-learning algorithms in Keras and see how deep-learning can be used in games See how various deep-learning models and practical use-cases can be implemented using Keras A practical, hands-on guide with real-world examples to give you a strong foundation in Keras Book Description This book starts by introducing you to supervised learning"
34,deep learning,Deep Learning: Engage the World Change the World,"Michael Fullan, Joanne Quinn, Joanne J. McEachen",3.96,48,4,"Engage the World Change the World Deep Learning has claimed the attention of educators and policymakers around the world. This book not only defines what deep learning is, but takes up the question of how to mobilize complex, whole-system change and transform learning for all students.Deep Learning is a global partnership that works to: transform the role of teachers to"
35,deep learning,Memorable Teaching: Leveraging Memory to Build Deep and Durable Learning in the Classroom,Peps Mccrea,4.08,121,10,"""If you have a spare half-hour or so, you could read Memorable Teaching from cover to cover. I doubt you'll find an education book with more useful insights per minute of reading time."" - Dylan Wiliam - Emeritus Professor of Educational Assessment, UCLThis book is for any educator who's interested in understanding how learning works, and how to optimise their teaching to"
36,deep learning,Deep Learning Cookbook: Practical Recipes to Get Started Quickly,Douwe Osinga,4.25,20,0,"Deep learning doesn't have to be intimidating. Until recently, this machine-learning method required years of study, but with frameworks such as Keras and Tensorflow, software engineers without a background in machine learning can quickly enter the field. With the recipes in this cookbook, you'll learn how to solve deep-learning problems for classifying and generating"
37,deep learning,Neural Networks and Deep Learning: A Textbook,Charu C. Aggarwal,4.3,20,4,"This book covers both classical and modern models in deep learning. The primary focus is on the theory and algorithms of deep learning. The theory and algorithms of neural networks are particularly important for understanding important concepts, so that one can understand the important design concepts of neural architectures in different applications. Why do neural"
38,deep learning,Mastering Deep Learning Fundamentals with Python: The Absolute Ultimate Guide for Beginners To Expert and Step By Step Guide to Understand Python Programming Concepts,Richard Wilson,1.71,7,1,"¡Ú¡ÚBuy the Paperback Version of this Book and get the Kindle Book version for FREE ¡Ú¡Ú Step into the fascinating world of data science.. You to participate in the revolution that brings artificial intelligence back to the heart of our society, thanks to data scientists.Data science consists in translating problems of any other nature into quantitative modeling"
39,deep learning,Neural Networks and Deep Learning: Deep Learning explained to your granny <U+2013> A visual introduction for beginners who want to make their own Deep Learning Neural Network (Machine Learning),Pat Nakamoto,3.42,26,1,"Ready to crank up a neural network to get your self-driving car pick up the kids from school? Want to add 'Deep Learning to your LinkedIn profile? Well, hold on there... Before you embark on your epic journey into the world of deep learning, there is basic theory to march through first! Take a step-by-step journey through the basics of Neural Networks and Deep"
40,deep learning,"Deep Learning in Python: Master Data Science and Machine Learning with Modern Neural Networks written in Python, Theano, and TensorFlow (Machine Learning in Python)",Lazy Programmer,3.55,31,1,"Deep Learning Deep learning is making waves. At the time of this writing (March 2016), Googles AlghaGo program just beat 9-dan professional Go player Lee Sedol at the game of Go, a Chinese board game. Experts in the field of Artificial Intelligence thought we were 10 years away from achieving a victory against a top professional Go player, but progress seems to have"
41,deep learning,"Practical Machine Learning with H2O: Powerful, Scalable Techniques for Deep Learning and AI",Darren Cook,4.54,13,2,"Machine learning has finally come of age. With H2O software, you can perform machine learning and data analysis using a simple open source framework thats easy to use, has a wide range of OS and language support, and scales for big data. This hands-on guide teaches you how to use H20 with only minimal math and theory behind the learning algorithms. If youre familiar with"
42,deep learning,Deep Learning and the Game of Go,"Max Pumperla, Kevin Ferguson",4.06,17,4, 
43,deep learning,Learning Deep Architectures for AI,Yoshua Bengio,4,18,6,"Can machine learning deliver AI? Theoretical results, inspiration from the brain and cognition, as well as machine learning experiments suggest that in order to learn the kind of complicated functions that can represent high-level abstractions (e.g. in vision, language, and other AI-level tasks), one would need deep architectures. Deep architectures are composed of"
44,deep learning,"Deep Learning for the Life Sciences: Applying Deep Learning to Genomics, Microscopy, Drug Discovery, and More","Bharath Ramsundar, Karl Leswing, Peter   Eastman, Vijay Pande",4.2,15,3,"Deep learning has already achieved remarkable results in many fields. Now it's making waves throughout the sciences broadly and the life sciences in particular. This practical book teaches developers and scientists how to use deep learning for genomics, chemistry, biophysics, microscopy, medical analysis, and other fields.Ideal for practicing developers and scientists"
45,deep learning,"Machine Learning Mathematics: Study Deep Learning Through Data Science. How to Build Artificial Intelligence Through Concepts of Statistics, Algorithms, Analysis and Data Mining",Samuel Hack,4.2,15,5,¡Ú¡Ú Buy the Paperback Version of this Book and get the Kindle Book Version for FREE ¡Ú¡Ú Master the World of Machine Learning Even if Youre a Complete Beginner. Are you an aspiring entrepreneur? Or are you an amateur software developer looking for a break in the world of machine learning? Then this is the book for you. Machine learning is the way of the future and
46,deep learning,Comparative Theology: Deep Learning Across Religious Borders,Francis X. Clooney,4.05,37,4,"Drawing upon the author's three decades of work in comparative theology, this is a pertinent and comprehensive introduction to the field, which offers a clear guide to the reader, enabling them to engage in comparative study. The author has three decades of experience of work in the field of comparative theology and is ideally placed to write this book Today's increasing"
47,deep learning,Dive into Deep Learning,"A. Zhang, Z.C. Lipton, M. Li, A.J. Smola",4.22,9,1,"Dive into Deep Learning, Berkeley STAT 157 (Spring 2019) textbook. With code, math, and discussions."
48,deep learning,"Deep Learning With Python: Beginner Guide with TensorFlow, Keras and Pytorch",Chao Pan,3.62,13,0,"***** BUY NOW (will soon return to 12.95 $) ***** Are you thinking of learning deep Learning using Python? (For Beginners Only) If you are looking for a complete beginners guide to learn deep learning with examples, in just a few hours, this book is for you. From AI Sciences Publisher Our books may be the best one for beginners; it's a step-by-step guide for any person"
49,deep learning,"MANIPULATION, NLP, BODY LANGUAGE, STOICISM: Master dark psychology guide to deep learning everything about mind control, persuasion, how to manage your emotions and influence people",Richard Avant,3.2,10,0,"Dark Psychology Secrets Are Now Revealed! The mind and consciousness have always been a riddle to humanity. From the ancient Egyptians to our modern days psychologist, humans are trying to figure out exactly how we make decisions, manipulate emotions, and take action.While other psychology books and blogs are giving you ""white-hat"" advice, there is an aspect that often"
50,deep learning,"Deep Learning, Vol. 1: From Basics to Practice",Andrew Glassner,4.07,15,2,"People are using the tools of deep learning to change how we think about science, art, engineering, business, medicine, and even music. This book is for people who want to understand this field well enough to create deep learning systems, train them, and then use them with confidence to make their own contributions. The book takes a friendly, informal approach. Our goal"
51,deep learning,"Machine Learning: A Journey from Beginner to Advanced Including Deep Learning, Scikit-learn, and Tensorflow",Michael B. White,3.17,6,1,"The rate that AI is growing is perhaps too fast to understand. The last 40 years have seen a few false starts but, in the last decade, weve seen huge advances in the processing power of computers and in data storage. All of a sudden, the game has changed in a big way. These days, much of the technology we depend on and rely on daily is powered by AI. Take Google"
52,deep learning,GANs in Action: Deep learning with Generative Adversarial Networks,"Jakub Langr, Vladimir Bok",4.71,17,3,"Deep learning systems have gotten really great at identifying patterns in text, images, and video. But applications that create realistic images, natural sentences and paragraphs, or native-quality translations have proven elusive. Generative Adversarial Networks, or GANs, offer a promising solution to these challenges by pairing two competing neural networks' one that"
53,deep learning,"Machine Learning Yearning: Technical Strategy for AI Engineers, In the Era of Deep Learning",Andrew Ng,4.26,245,34,"This book has been written for those candidates who wanted to Learn Machine Learning Technical Implementation Strategy This book is mainly focused on all the concepts of Machine Learning with real world, enterprise-level, best practices to implement and use for the production services. We have covered the following topics in this guide for the Business Strategy: 1. Data"
54,deep learning,PYTHON: 4 BOOKS IN 1: Learn How To Develop Programs And Apps In 7 Days With Python Programming And Start Deep Hands-on Learning For Beginners of Data Science And Machine Learning.,"Oliver R. Simpson, Code Developer Academy",4.4,5,2, 
55,deep learning,"Python Deep learning: Develop your first Neural Network in Python Using TensorFlow, Keras, and PyTorch (Step-by-Step Tutorial for Beginners)",Samuel Burns,3.83,6,0,"Build your Own Neural Network through easy-to-follow instruction and examples. Thanks this easy tutorial youll learn the fundamentals of Deep learning and build your very own Neural Network in Python using TensorFlow, Keras, PyTorch, and Theano. While you have the option of spending thousands of dollars on a big and a boring textbooks, we recommend getting the same pieces"
56,deep learning,Deep Learning in Python Prerequisites: Master Data Science and Machine Learning with Linear Regression and Logistic Regression in Python (Machine Learning in Python),Lazy Programmer,2.76,21,0,"Do you find deep learning difficult? So you want to learn about deep learning and neural networks, but you dont have a clue what machine learning even is. This book is for you.Perhaps youve already tried to read some tutorials about deep learning, and were just left scratching your head because you did not understand any of it. This book is for you.Believe the hype. Deep"
57,deep learning,Harnessing Technology for Deeper Learning: (A Quick Guide to Educational Technology Integration and Digital Learning Spaces) (Solutions for Creating the Learning Spaces Students Deserve),"Scott McLeod, Julie Graber",4.14,28,3,"Reshape educational technology integration in classrooms to build truly transformative learning spaces. This concise, reader-friendly guide outlines a clear approach for properly and skillfully using digital learning tools to promote deeper, personalized learning across subjects and grade levels. The authors impart tips and strategies for avoiding common missteps,"
58,deep learning,"Practical Deep Learning for Cloud, Mobile, and Edge: Real-World AI & Computer-Vision Projects Using Python, Keras & Tensorflow","Anirudh Koul, Siddha Ganju, Meher Kasam",4.43,7,2,"Whether you're a software engineer aspiring to enter the world of deep learning, a veteran data scientist, or a hobbyist with a simple dream of making the next viral AI app, you might have wondered where to begin. This step-by-step guide teaches you how to build practical deep learning applications for the cloud, mobile, browsers, and edge devices using a hands-on"
59,deep learning,Ultimate Step by Step Guide to Deep Learning Using Python,Daneyal Anis,4.5,2,0, 
60,deep learning,The Deep Learning AI Playbook: Strategy for Disruptive Artificial Intelligence,Carlos Perez,4,8,2,"Deep Learning Artificial Intelligence involves the interplay of Computer Science, Physics, Biology, Linguistics and Psychology. In addition to that, it is technology that can be extremely disruptive. The ramifications to society and even our own humanity will be profound. There are few subjects that are as captivating and as consequential as this. Surprisingly, there is"
61,deep learning,Deep Learning from Scratch: Building with Python from First Principles,Seth Weidman,4.4,5,2,"With the resurgence of neural networks in the 2010s, deep learning has become essential for machine learning practitioners and even many software engineers. This book provides a comprehensive introduction for data scientists and software engineers with machine learning experience. You'll start with deep learning basics and move quickly to the details of important advanced"
62,deep learning,Deep Learning: Deep Learning for Beginners. Practical Guide with Python and Tensorflow (Data Sciences Book 2),Francois Duval,3.86,7,1,"***** #1 Kindle Store Bestseller in Mathematical Analysis (Throughout 2017) ***** Are you thinking of learning more about Deep Learning? If you are looking for a book to help you understand how the deep learning works by using Python and Tensorflow, then this is a good book for you. Several Visual Illustrations and Examples Equations are great for really"
63,deep learning,"The Artificial Intelligence in a Nutshell: A brief introduction to Artificial Intelligence, Machine Learning, Neural Networks, Deep Learning, and Robots",Martin Spano,3.82,28,12,"In 2012, two postgraduate students from the University of Toronto entered the major image recognition competition. Inspired by their university supervisor, they came up with the exotic idea of using a multilayered artificial neural network called deep neural network and devastated all competitors. These events gave birth to a new, unprecedented boom in artificial"
64,deep learning,Programming Pytorch for Deep Learning: Creating and Deploying Deep Learning Applications,Ian Pointer,4.08,13,4,"Take the next steps toward mastering deep learning, the machine learning method that's transforming the world around us by the second. In this practical book, you'll get up to speed on key ideas using Facebook's open source PyTorch framework and gain the latest skills you need to create your very own neural networks.Ian Pointer shows you how to set up PyTorch on a"
65,deep learning,Tensorflow for Deep Learning: From Linear Regression to Reinforcement Learning,Bharath Ramsundar,3.25,16,2,"Learn how to solve challenging machine learning problems with TensorFlow, Google's revolutionary new software library for deep learning. If you have some background in basic linear algebra and calculus, this practical book introduces machine-learning fundamentals by showing you how to design systems capable of detecting objects in images, understanding text, analyzing"
66,deep learning,"Deep Learning for Computer Vision: Image Classification, Object Detection, and Face Recognition in Python",Jason  Brownlee,4.2,5,0,"Deep learning methods can achieve state-of-the-art results on challenging computer vision problems such as image classification, object detection, and face recognition. With clear explanations, standard Python libraries, and step-by-step tutorial lessons, youll discover how to develop deep learning models for your own computer vision projects."
67,deep learning,Hands-On Reinforcement Learning with Python: Master reinforcement and deep reinforcement learning using OpenAI Gym and TensorFlow,Sudharsan Ravichandiran,3.89,9,2,A hands-on guide enriched with examples to master deep reinforcement learning algorithms with Python Key Features Enter the world of artificial intelligence using the power of Python An example-rich guide to master various RL and DRL algorithms Explore various state-of-the-art architectures along with math Book Description Reinforcement Learning (RL) is the trending and
68,deep learning,"Deep Learning, Vol. 2: From Basics to Practice",Andrew Glassner,4,12,1,"People are using the tools of deep learning to change how we think about science, art, engineering, business, medicine, and even music. This book is for people who want to understand this field well enough to create deep learning systems, train them, and then use them with confidence to make their own contributions. The book takes a friendly, informal approach. Our goal"
69,deep learning,"Convolutional Neural Networks in Python: Master Data Science and Machine Learning with Modern Deep Learning in Python, Theano, and TensorFlow (Machine Learning in Python)",Lazy Programmer,3.55,11,1,"This is the 3rd part in my Data Science and Machine Learning series on Deep Learning in Python. At this point, you already know a lot about neural networks and deep learning, including not just the basics like backpropagation, but how to improve it using modern techniques like momentum and adaptive learning rates. You've already written deep neural networks in Theano and"
70,deep learning,Deep Learning for Search,Tommaso Teofili,4.5,10,1,"Deep Learning for Search teaches you how to improve the effectiveness of your search by implementing neural network-based techniques. You'll start with an overview of information retrieval principles, like indexing, searching, and ranking, as well as a fast indoctrination into deep learning. Then, you'll move through in-depth examples as you gain an understanding of how to"
71,deep learning,"Different Schools for a Different World: (School Improvement for 21st Century Skills, Global Citizenship, and Deeper Learning) (Solutions for Creating the Learning Spaces Students Deserve)","Scott McLeod, Dean Shareski",4.06,17,3,"This resource details six key arguments for why educators must approach school improvement differently in the 21st century: (1) information literacy, (2) the economy, (3) learning, (4) boredom, (5) innovation, and (6) equity. Learn how schools are tackling these six arguments head-on in order to help students grow into global citizens, critical thinkers, innovators, and"
72,deep learning,Deep Learning: Deep Learning for Beginners: Concepts and Algorithms (Data Sciences),Francois Duval,4.09,11,0,"***** #1 Kindle Store Bestseller in Computer Modelling ***** Free Kindle eBook for customers who purchase the print book from Amazon Are you thinking of learning more about Deep Learning? If you are looking for a book to help you understand concepts and algorithms of deep learning, then this is a good book for you. Several Visual Illustrations and Examples Equations"
73,deep learning,Mastering Deep Learning Fundamentals with Python: An Ultimate Guide for Beginners in Data Science (FREE one hour Video Course in Deep learning for Beginners included),AI Publishing,3,3,1,"**GET YOUR COPY NOW, the price will be 12.99$ soon** Learn and Build Deep Learning Models Today ! Welcome to the Mastering Deep Learning Fundamentals with Python Book! The book offers you a solid introduction to the world of artificial intelligence. In this program, youll master fundamentals that will enable you to go further in the field, launch or advance a career, and"
74,deep learning,"New Pedagogies for Deep Learning: Leading Transformation in Schools, Districts and Systems","Michael Fullan, Joanne Quinn, Joanne McEachen",4.44,16,1,"Engage the world, change the world Deep Learning has claimed the attention of educators and policymakers around the world. This book not only defines what deep learning is, but takes up the question of how to mobilize complex, whole-system change and transform learning for all students.New Pedagogies for Deep Learning is a global partnership that works to: transform the"
75,deep learning,"Python Machine Learning: A Deep Dive Into Python Machine Learning and Deep Learning, Using Tensor Flow And Keras: From Beginner To Advance",Leonard Eddison,4,4,0,"Python Machine Learning Buy the paperback version and get the eBook for free This book contains:Python Machine Learning : A Deep Dive Into Python Machine Learning and Deep Learning, Using Tensor Flow And Keras: From Beginner To AdvancePython: A Complete Step By Step Beginners Guide To Programming With PythonNo previous experience with Keras, TensorFlow, or machine"
76,deep learning,Deep Learning: A Technical Approach To Artificial Intelligence For Beginners,Leonard Eddison,2.57,7,0,"Are you interested in Deep Learning and you want to know what you can achieve with it?Have you ever stopped to wonder how it is that Google, Twitter, or one of the countless other sites or apps has the capacity to comprehend the complex algorithms of day to day life, slang terminology, or even high math and science functionality? If so, you might already be a bit familiar"
77,deep learning,Introduction to Deep Learning,Eugene Charniak,3.77,13,3,"A project-based guide to the basics of deep learning.This concise, project-driven guide to deep learning takes readers through a series of program-writing tasks that introduce them to the use of deep learning in such areas of artificial intelligence as computer vision, natural-language processing, and reinforcement learning. The author, a longtime artificial intelligence"
78,deep learning,"Artificial Intelligence: Reinforcement Learning in Python: Complete guide to artificial intelligence and machine learning, prep for deep reinforcement learning",LazyProgrammer,4.5,6,0,"When people talk about artificial intelligence, they usually dont mean supervised and unsupervised machine learning. These tasks are pretty trivial compared to what we think of AIs doing - playing chess and Go, driving cars, and beating video games at a superhuman level. Reinforcement learning has recently become popular for doing all of that and more. Much like deep"
79,deep learning,Grokking Artificial Intelligence Algorithms: Understand and apply the core algorithms of deep learning and artificial intelligence in this friendly illustrated guide including exercises and examples,Rishal Hurbans,4.8,5,2,"This book takes an impossibly broad area of computer science and communicates what working developers need to understand in a clear and thorough way. - David Jacobs, Product Advance LocalKey Features Master the core algorithms of deep learning and AI Build an intuitive understanding of AI problems and solutions Written in simple language, with lots of illustrations and"
