,title,author,rating,rating_NUM,review_NUM,summary
11,"Harry, a History: The True Story of a Boy Wizard, His Fans, and Life Inside the Harry Potter Phenomenon","Melissa Anelli, J.K. Rowling",4.12,15037,709,"THE HARRY POTTER BOOKS WERE JUST THE BEGINNING OF THE STORY... During the brief span of just one decade, hundreds of millions of perfectly ordinary people made history: they became the only ones who would remember what it was like when the Harry Potter saga was still unfinished. What is was like to seek out friends, families, online forums, fan fiction, and podcasts to get"
12,Harry Potter Collection,J.K. Rowling,4.73,31031,968,"Six years of magic, adventure, and mystery make this luxurious boxed set the perfect gift for Harry Potter fans of all ages. Follow Harry from his first days at Hogwarts School for Witchcraft and Wizardry, through his many adventures with Hermione and Ron, to his confrontations with rival Draco Malfoy and the dreaded Professor Snape. From the thrilling search for the"
13,Selections from Harry Potter and the Order of the Phoenix: Piano Solos,"John   Williams, Nicholas Hooper",4.71,30617,19,"Watching the characters from J.K. Rowling's Harry Potter and the Order of the Phoenix(tm) come alive is made only more delightful by the extraordinary soundtrack that enhances Harry, Hermione, Ron's adventures.Alfred presents this selection of music from the soundtrack to the major motion picture arranged for advanced solo piano. Titles are Dumbledore's Army * Fireworks *"
14,The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for Wizards and Non-Wizards Alike,Dinah Bucholz,4.1,14231,393,"Bangers and mash with Harry, Ron, and Hermione in the Hogwarts dining hall. A proper cuppa tea and rock cakes in Hagrid's hut. Cauldron cakes and pumpkin juice on the Hogwarts Express. With this cookbook, dining a la Hogwarts is as easy as Banoffi Pie! With more than 150 easy-to-make recipes, tips, and techniques, you can indulge in spellbindingly delicious meals drawn"
15,Harry Potter: A History of Magic,"British Library, J.K. Rowling, Julian Harrison, Julia Eccleshare, Roger Highfield, Anna Pavord, Lucy Mangan, Tim Peake, Owen  Davies, Richard  Coles, Steve Backshall, Steve Kloves",4.22,13511,775,"Harry Potter: A History of Magic is the official book of the exhibition, a once-in-a-lifetime collaboration between Bloomsbury, J.K. Rowling and the brilliant curators of the British Library. It promises to take readers on a fascinating journey through the subjects studied at Hogwarts School of Witchcraft and Wizardry from Alchemy and Potions classes through to Herbology"
16,Harry Potter: Film Wizardry,Brian Sibley,4.5,58402,573,"Harry Potter: Film Wizardry gives readers a front row seat to the magical journey that brought J.K. Rowling's wizarding world to the big screen. Step off Platform Nine and Three Quarters and into the hidden world behind the scenes of the Harry Potter film series. Brian Sibley is the author of other bestselling behind-the-screen books, like The Lord of the Rings: The Making"
17,Harry Potter: The Prequel,J.K. Rowling,4.18,20115,1348,"The Harry Potter Prequel is an 800-word story written by J. K. Rowling, and was published online on June 11th, 2008. Set three years before the birth of Harry Potter, the story recounts an adventure had by Sirius Black and James Potter.J.K. Rowling announced on May 28, 2008 that she was writing a prequel story for English PEN, the writers' association, and the Dyslexia"
18,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)","J.K. Rowling, Mary GrandPre",4.78,54444,182,"Box Set containing Harry Potter and the Sorcerer's Stone, Harry Potter and the Chamber Of Secrets, Harry Potter and the Prisoner of Azkaban, Harry Potter and the Goblet Of Fire, and Harry Potter and the Order of the Phoenix!"
19,The Harry Potter Collection 1-4,"J.K. Rowling, Mary GrandPre",4.68,55743,342,"The exciting tales of Harry Potter, the young wizard-in-training, have taken the world by storm, and fans just can't get enough of the magical world of Hogwarts and beyond. If you buy one of the Harry Potter books, we guarantee you'll want the next...and the next...and the next -- so why not have them all, right at your fingertips? With the Harry Potter Hardcover Box Set"
20,Harry Potter and the Chamber of Secrets: Sheet Music for Flute with C.D,John   Williams,4.65,74432,94,"Alfred Music Publishing is the world-s largest educational music publisher. Alfred produces educational, reference, pop, and performance materials for teachers, students, professionals, and hobbyists spanning every musical instrument, style, and difficulty level. Alfred-s home office is located in Los Angeles with domestic offices in Miami and New York as well as offices"
21,Harry Potter and the Chamber of Secrets: Sheet Music for Flute with C.D,John   Williams,4.65,74432,94,"Alfred Music Publishing is the world-s largest educational music publisher. Alfred produces educational, reference, pop, and performance materials for teachers, students, professionals, and hobbyists spanning every musical instrument, style, and difficulty level. Alfred-s home office is located in Los Angeles with domestic offices in Miami and New York as well as offices"
22,Harry Potter and Philosophy: If Aristotle Ran Hogwarts,"David Baggett, Shawn E. Klein",4.48,11858,98,"In Harry Potter and Philosophy, seventeen philosophical experts unlock some of Hogwarts' secret panels, and uncover surprising insights that are enlightening both for wizards and the most discerning muggles."
23,The Sorcerer's Companion: A Guide to the Magical World of Harry Potter,"Allan Zola Kronzek, Elizabeth Kronzek",4.04,8215,139,"The New York Times bestseller, now fully updated to include Harry Potter and the Order of the PhoenixWho was the real Nicholas Flamel? How did the Sorcerers Stone get its power? Did J. K. Rowling dream up the terrifying basilisk, the seductive veela, or the vicious grindylow? And if she didnt, who did?Millions of readers around the world have been enchanted by the magical"
24,Harry Potter: A Pop-Up Book: Based on the Film Phenomenon,"Andrew Williamson, Andrew Williamson",4.62,40088,57,"This collectible Harry Potter pop-up book, based on the creative development of the films, features exquisite original artwork by Andrew Williamson, concept artist for all eight movies. With dynamic pop-ups animating memorable moments and locations like the Triwizard Tournament, Diagon Alley, and Hogwarts Castle Harry Potter: A Pop-Up Book offers a 3-D glimpse into the"
25,Harry Potter And The Half Blood Prince: (Piano Solo),Nicholas Hooper,4.74,11689,7, 
26,The Ultimate Harry Potter and Philosophy: Hogwarts for Muggles,Gregory Bassham,4.41,7601,159,"A philosophical exploration of the entire seven-book Harry Potter seriesHarry Potter has been heralded as one of the most popular book series of all time and the philosophical nature of Harry, Hermione, and Ron's quest to rid the world of its ultimate evil is one of the many things that make this series special. The Ultimate Harry Potter and Philosophy covers all seven"
27,"The Magical Worlds of Harry Potter: A Treasury of Myths, Legends, and Fascinating Facts",David Colbert,3.99,18443,319,"J.K. Rowling fills her books with references to history, myths, legends and literature. This text presents the stories behind the stories. It includes encounters with wizards like Circe and Merlin, and real-life alchemists of the middle ages. Adding to the experience are writers as varied as William Shakespeare, Gustave Flaubert, Charles Dickens, Ovid, John Donne, J.R.R."
28,Harry Potter Page to Screen: The Complete Filmmaking Journey,Bob McCabe,4.57,34295,489,"""Harry Potter: Page to Screen"" opens the doors to Hogwarts castle and the wizarding world of Harry Potter to reveal the complete behind-the-scenes secrets, techniques, and over-the-top artistry that brought J.K. Rowling's acclaimed novels to cinematic life. Developed in collaboration with the creative team behind the celebrated movie series, this deluxe, 500-plus page"
29,Harry Potter: A Journey Through Charms and Defence Against the Dark Arts,"Pottermore Publishing, J.K. Rowling",3.88,2639,145,"The history of magic is as long as time and as wide as the world. In every culture, in every age, in every place and, probably, in every heart, there is magic. This non-fiction short-form eBook features content which is adapted from the audiobook Harry Potter: A History of Magic inspired by the British Library exhibition of the same name.How to become invisible, to make"
30,Harry Potter and the Methods of Rationality,Eliezer Yudkowsky,4.39,13726,1364,"Harry Potter and the Methods of Rationality is a work of alternate-universe Harry Potter fan-fiction wherein Petunia Evans has married an Oxford biochemistry professor and young genius Harry grows up fascinated by science and science fiction. When he finds out that he is a wizard, he tries to apply scientific principles to his study of magic, with sometimes surprising"
31,Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry,J.K. Rowling,4.39,12816,186,"There is an alternate cover edition for this ISBN13 here.Fans of Harry Potter will love the chance to really get inside the Hogwarts School of Witchcraft and Wizardry. Now, straight from the Hogwarts School Library, come two textbooks used by Harry and all his fellow wizards-in-training. Written by J. K. Rowling under two delightful pseudonyms, Quidditch Through the Ages"
32,Charmed Knits: Projects for Fans of Harry Potter,Alison Hansel,4.17,3798,101,"Sit and Knit a Spell You'll soon be knitting enchanting things you didn't know were within your powers. Charmed Knits offers dozens of patterns for items that evoke the mystique of Harry Potter - a Wizard Robe, an Invisibility Shawl, a Quidditch Sweater, Ron's Ragg Raglan, a Clock Blanket, Harry Christmas Ornaments, and more. Easy-to-follow patterns, color photos of the"
33,Mapping the World of Harry Potter: Science Fiction and Fantasy Writers Explore the Bestselling Series of All Time,"Mercedes Lackey, Leah Wilson, Adam-Troy Castro, Roxanne Longstreet Conrad, Elisabeth DeVos, Richard Garfinkle, Roberta Gellis, Marguerite Krause, Susan R. Matthews, Joyce Millman, Daniel P. Moloney, Lawrence Watt-Evans, Martha Wells, Sarah Zettel, James E. Gunn",4.31,2621,54,"With up-to-date information through book six in the series, this companion volume offers a comprehensive look at the world of Harry Potter through the eyes of leading science fiction and fantasy writers and religion, psychology, and science experts."
34,An Unofficial Muggle's Guide to the Wizarding World: Exploring the Harry Potter Universe,Fionna Boyle,4.33,2610,33,"From Azkaban to zombies, every aspect of the enthralling universe in J. K. Rowling's Harry Potter series is explained, expanded, and celebrated in a literary guidebook which also includes information on the historical roots of the symbolism and mythology used in the series. Original."
35,Harry Potter and History,Nancy R. Reagin,4.38,3530,69,"A guide to the history behind the world of Harry Potter just in time for the last Harry Potter movie, Harry Potter and the Deathly Hallows (Part II) Harry Potter lives in a world that is both magical and historical. Hogwarts pupils ride an old-fashioned steam train to school, notes are taken on parchment with quill pens, and Muggle legends come to life in the form of"
36,J. K. Rowling: The Wizard Behind Harry Potter,Marc Shapiro,3.92,4811,192,"Harry Potter is loved throughout the world - so is his creator. Joanne Kathleen (J.K.) Rowling is a true wizard, a woman who has the ability to recall vividly her days as a child and capture those wild, wonderful, difficult times-an ability that helps make her creation, Harry Potter, seem so real. In this revealing look, fans of the Harry Potter series will get to see"
37,Harry Potter's Bookshelf: The Great Books behind the Hogwarts Adventures,John Granger,4.29,1814,91,Harry Potter. The name conjures up J.K. Rowling's wondrous world of magic that has captured the imaginations of millions on both the printed page and the silver screen with bestselling novels and blockbuster films. The true magic found in this children's fantasy series lies not only in its appeal to people of all ages but in its connection to the greater world of classic
38,The End of Harry Potter?,David Langford,4.41,8389,54,"The publication of Harry Potter and the Deathly Hallows, the seventh and final Harry Potter novel, is probably the most eagerly anticipated event in the history of publishing. Even the smallest hints from author J. K. Rowling about what may happen to Harry and his friends have been major news stories.In The End of Harry Potter?, David LangfordPotter fan and award-winning"
39,Harry Potter: the Character Vault,Jody Revenson,4.49,2257,158,"Unlock new information about your favourite characters from the Harry Potter movies with this definitive coffeetable book profiling the good, the bad, and everything in between within the Harry Potter universe. Dive into the personal journeys of beloved Harry Potter heroes, and an insightful look at the motivations and actions of the films most notorious and complicated"
40,The Unofficial Harry Potter Cookbook Presents: 10 Summertime Treats,Dinah Bucholz,3.77,1680,64,"Free ebook Download! It's summertime and the weather is just right to sit back and relax with a nice, cool . . . pumpkin juice! With July comes backyard barbecues, long afternoons by the pool, and Harry's birthday of course! Celebrate this magical time with The Unofficial Harry Potter Cookbook Presents: 10 Summertime Treats. This free ebook includes 10 decadent treats"
41,Mugglenet.com's Harry Potter Should Have Died: Controversial Views from the #1 Fan Site,"Emerson Spartz, Ben Schoen",3.93,3180,109,"HARRY POTTER DIDN'T DIE.The seventh and final book is out, but fans still fiercely debate the many controversial issues left unresolved. Now, the experts at MuggleNet.com argue passionately about what really happened and what should have happened.Would the series be stronger if Harry hadnt survived?Should we pity Voldemort or hate him?Is Severus Snape really a hero?Should"
42,Harry Potter: the Creature Vault,Jody Revenson,4.46,2631,223,"Dementors and House-elves, merpeople and Chinese Fireball Dragonsthese are just a few of the magical creatures and frightening monsters populating J. K. Rowling's wizarding world. Harry Potter: The Creature Vault is a fascinating look at how this menagerie was brought to life for the blockbuster Harry Potter film series. Detailed profiles of each creature include rare"
43,Repotting Harry Potter: A Professor's Book-By-Book Guide for the Serious Re-Reader,James W. Thomas,4.29,1176,36,"A professor of literature for over thirty years, Dr. James W. Thomas takes us on a tour through the Potter books in order to enjoy them in different ways upon subsequent readings. Re-readers will be pleasantly surprised at what they may have missed in the books and at what secrets Rowling has hidden for us to uncover as we revisit these stories. The professor's informal"
44,Harry Potter: the Artifact Vault,Jody Revenson,4.42,1156,93,"Throughout the making of the eight Harry Potter movies, designers and craftspeople were tasked with creating fabulous chocolate-fantasy feasts, flying brooms, enchanted maps, and much more, in addition to numerous magical items necessary in a wizards everyday lifefor example, newspapers with moving photos, vicious textbooks, and Howlers. Harry Potter: The Artifact Vault"
45,"Harry Potter And The Order Of Phoenix: A Summary About This Novel Of J.K Rowling!! (Harry Potter And The Order Of Phoenix: A Detailed Summary-- Book 5, Box Set, Novel, Rowling)",The Summary Guy,4.71,3772,2,"Harry Potter and the Order of the Phoenix: A Detailed Summary About This Novel Of J.K Rowling!!! Harry Potter and the Order of the Phoenix is fifth book in Harry Potter series written by J.K. Rowling, a successful writer of previous four books about a young wizard that enchanted the hearts of both the young and the grown-ups. Maybe the most important thing about this"
46,Harry Potter Illustrated Box Set,"J.K. Rowling, Jim Kay",4.78,1128,66, 
47,Harry Potter Colouring Book,"Scholastic Inc., Warner Brothers",4.35,2261,53,"Packed with stunning pieces of artwork from the Warner Bros. archive, this deluxe coloring book gives fans the chance to color in the vivid settings and beloved characters of J.K. Rowlings wizarding world. Containing intricate line drawings used in the making of the Harry Potter films, this coloring book includes fan-favorite scenes, creatures, and characters: from Dobby"
48,"Harry Potter And The Deathly Hallows: Book 7-- A Detailed Summary About This Book Of J.K. Rowling! And Much More!! (Harry Potter And The Deathly Hallows: ... Book 7, Paperback,Novel,Dvd,Movie,Summary)","The Summary Guy, The Deathly Hallows",4.75,3248,0,"Harry Potter And The Deathly Hallows: A Detailed Summary, Analysis, And Much More! Deathly Hallows is the seventh and final installment in the Harry Potter series, which was published between 1997 and 2007. And the fact that J.K. Rowling took a decade was significant after all, it meant that a whole generation grew up with Harry, following him from childhood to"
49,"Fact, Fiction, and Folklore in Harry Potter's World: An Unofficial Guide","George Beahm, Tim Kirk, Britton McDaniel",4.23,972,23,"Fact, fiction, and folklore in Harry Potter's world: covering the first five Harry Potter novels, this book presents more than one hundred entries that thoroughly examine the myths, legends, literature, and historical references of J. K. Rowling's fictional universe--Provided by publisher."
50,The Dark Fantastic: Race and the Imagination from Harry Potter to the Hunger Games,Ebony Elizabeth Thomas,4.25,610,167,"Reveals the diversity crisis in children's and young adult media as not only a lack of representation, but a lack of imaginationStories provide portals into other worlds, both real and imagined. The promise of escape draws people from all backgrounds to speculative fiction, but when people of color seek passageways into the fantastic, the doors are often barred. This"
51,Ultimate Unofficial Guide to the Mysteries of Harry Potter: Analysis of Books 1-4,"Galadriel Waters, Astre Mithrandir",4.05,2822,41,"Calling all HP Sleuths...Here is the original Ultimate Unofficial Guide to the Mysteries of Harry Potter, which gives Harry Potter fans the ability to delve deeper into the mysteries and fun of Harry Potter. It investigates all the clues that J.K. Rowling has hidden in her series.This is the Guide that got almost everything right about what would happen in Harry Potter and"
52,Harry Potter: A Journey Through A History of Magic,"British Library, J.K. Rowling",4.29,5700,633,"An irresistible romp through the history of magic, from alchemy to unicorns, ancient witchcraft to Harry's Hogwarts packed with unseen sketches and manuscript pages from J.K. Rowling, magical illustrations from Jim Kay and weird, wonderful and inspiring artefacts that have been magically released from the archives at the British Library. This spellbinding book takes"
53,Who Killed Albus Dumbledore?: What Really Happened in Harry Potter and the Half-Blood Prince? Six Expert Harry Potter Detectives Examine the Evidenc,"John Granger, Odel Joyce, Wendy B. Harte",4.33,1132,11,"Six fan-theorists attempt to unravel the clues of THE HALF-BLOOD PRINCE. Joyce Odell of Red Hen Productions, Daniella Teo of Mugglenet, Sally M. Gallo of The Leaky Cauldron, Wendy B. Harte and the mysterious ""Swythyv"" - along with editor, John Granger (author of Hidden Key to Harry Potter, etc.)- provide Harry Potter readers with exciting and insightful ideas of what"
54,The Psychology of Harry Potter: An Unauthorized Examination Of The Boy Who Lived,"Neil Mulholland, Robin S. Rosenberg, Wind Goodfriend, Misty Hook, Richard E. Heyman, Danielle M. Provenzano, Karl S. Rosengren, Emily C. Rosengren, Carol Nemeroff, Peter A. Hancock, Michelle K. Gardner, Nancy Franklin, Susan Engel, Jessica Leigh Murakami, E. David Klonsky, Rebecca Laptook, Siamak Tundra Naficy, Christopher J. Patrick, Sarah K. Patrick, Mikhail Lyubansky, David H. Rakison, Caroline Simard, Sam Levin, Patricia A. Rippetoe, Melanie C. Green, Laurie J. Pahel, Kevin J. Apple, Melissa J. Beers, Shoshana D. Kerewsky, Lissa Joy Geiken, Charles W. Kalish, Emma C. Kalish",4.27,1885,56,"Harry Potter has provided a portal to the wizarding world for millions of readers, but an examination of Harry, his friends and his enemies will take us on yet another journey: through the psyche of the Muggle (and wizard!) mind. The twists and turns of the series, as well as the psychological depth and complexity of J. K. Rowlings characters, have kept fans enthralled"
55,Muggles and Magic: J. K. Rowling and the Harry Potter Phenomenon,"George Beahm, Tim Kirk",4.17,2721,26,"""Muggles and Magic"" is the first general interest book, resource guide, and reference work for Rowling's millions of fans. Organized in six sections appendices, this 400-page book is a treasure trove of information and trivia about Harry Potter, Rowling's most famous literary creation, and the phenomenon that surrounds him. The Real World of J.K. Rowling provides an"
56,The Young American’s Unofficial Guide to the Very British World of Harry Potter,Dana Middleton,4.47,15,4,"Are you an American who loves the Harry Potter books? But did you know you might be missing things?The Harry Potter series is about Harrys magical world but its about his British one, too. This book will help you understand all the British history, geography, culture and slang that J.K. Rowling so expertly weaves into the Harry Potter stories. It offers a window into Harry"
57,Harry Potter And The Order Of The Phoenix (Piano Solos),"John   Williams, Nicholas Hooper",4.81,2189,0,"Watching the characters from J.K. Rowlings Harry Potter and the Order of the Phoenix™ come alive is made only more delightful by the extraordinary soundtrack that enhances Harry, Hermione, Ron's adventures. Alfred presents this selection of music from the soundtrack to the major motion picture arranged for advanced solo piano. Titles are * Dumbledore's Army * Fireworks *"
58,The Science of Harry Potter: How Magic Really Works,Roger Highfield,4.05,2983,107,"Behind the magic of Harry Potter--a witty and illuminating look at the scientific principles, theories, and assumptions of the boy wizard's world, newly come to life again in Harry Potter and the Cursed Child and the upcoming film Fantastic Beasts: The Crimes of GrindelwaldCan Fluffy the three-headed dog be explained by advances in molecular biology? Could the discovery of"
59,Unlocking Harry Potter: Five Keys for the Serious Reader,John Granger,4.3,995,28,"UNLOCKING HARRY POTTER gives you five essential keys for understanding the HARRY POTTER series. Not just who will live or die in DEATHLY HOLLOWS, but how J.K. Rowling created the most successful books of our times. To understand the story behind the stories, John Granger, author of THE HIDDEN KEY TO HARRY POTTER and editor of WHO KILLED ALBUS DUMBLEDORE?, introduces the"
60,Harry Potter: A Journey Through Care of Magical Creatures,"Pottermore Publishing, J.K. Rowling",3.99,631,40,"The history of magic is as long as time and as wide as the world. In every culture, in every age, in every place and, probably, in every heart, there is magic. This non-fiction short-form eBook features content which is adapted from the audiobook Harry Potter: A History of Magic inspired by the British Library exhibition of the same name.Well-known folkloric creatures"
61,Harry Potter: A Journey Through Divination and Astronomy,"Pottermore Publishing, J.K. Rowling",3.93,636,31,"The history of magic is as long as time and as wide as the world. In every culture, in every age, in every place and, probably, in every heart, there is magic. This non-fiction short-form eBook features content which is adapted from the audiobook Harry Potter: A History of Magic inspired by the British Library exhibition of the same name.If youve gazed into the crystal"
62,Random Harry Potter Facts You Probably Don't Know: 154 Fun Facts and Secret Trivia,Mariah Caitlyn,4.24,1198,36,154 Harry Potter facts you've probably never heard before. Impress your friends and family with next-level Harry Potter knowledge and history.
63,The Harry Potter trilogy,J.K. Rowling,4.66,7010,189,"This box set collects hard cover editions Harry Potter and the Philosopher's Stone, Harry Potter and the Chamber of Secrets, and Harry Potter and the Prisoner of Azkaban in a slip case."
64,Gospel According to Harry Potter: Spirituality in the Stories of the World's Most Famous Seeker,Connie Neal,4.23,1067,35,"In this inspiring consideration of the spiritual themes in the popular Harry Potter series, well-known Christian author and Harry Potter fan Connie Neal explores the world of magic and mystery created by J. K. Rowling alongside the stories and grand themes of the Bible. Contrary to those who reject the series as a threat to the Christian faith, Neal demonstrates how the"
65,"Harry Potter and the Cursed Child, Parts 1 & 2 and Harry Potter and the Philosopher's Stone 2 Books Bundle Collection","J.K. Rowling, Jack Thorne, John Tiffany",4,439,19,"Harry Potter and the Cursed Child, Parts 1 & 2 and Harry Potter and the Philosopher's Stone 2 Books Bundle Collection. Description:- Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script It was always difficult being Harry Potter and it isn't much easier now that he is an overworked employee of the Ministry of Magic, a husband and father"
66,Harry Potter & Imagination: The Way Between Two Worlds,Travis Prinzi,4.46,502,9,"""What we achieve inwardly will change outer reality."" Those words, written by Plutarch and quoted by J.K. Rowling in her 2008 Harvard commencement speech, sum up both the Harry Potter series and Travis Prinzi's analysis of the best-selling books in Harry Potter & Imagination: The Way Between Two Worlds. Great imaginative literature places the readers between two worlds"
67,Harry Potter and the Psychic Serpent,B.L. Purdom,4.1,350,23,"In Harry's fifth year he gets a snake with the Sight. Hermione's torn between Ron and Harry, who's torn between her and Ginny, who's torn between him and Draco Malfoy, who's torn between her and loyalty to his father. Plus: a Prophecy, Animagus training, a Dueling Club, Snape's Penseive, kilts, giants, house elf liberation and more!Cover by Leela Starsky"
68,From Homer to Harry Potter: A Handbook on Myth and Fantasy,"Matthew Dickerson, David L. O'Hara",4.23,627,42,"The allure of fantasy continues to grow with film adaptations of The Lord of the Rings and J. K. Rowling's Harry Potter series. But how should Christians approach modern works of fantasy, especially debated points such as magic and witches?From Homer to Harry Potter provides the historical background readers need to understand this timeless genre. It explores the influence"
69,Harry Potter Collector's Handbook,William Silvester,4.35,697,3,"Action Figures, Books, Ornaments, Costumes, Calendars, Art, Coins, Dolls, Jewelry, Lunch Boxes, Toys, Movies. Harry Potter Casts His Spell on Collectors.Welcome, Muggles, to the magic, mystery, and merchandise of the wonderful wizarding world of Harry Potter! ""Harry Potter Collector's Handbook"" will bewitch you with colorful images and current values of licensed products"
70,Harry Potter Spell Book: The Unofficial Book of Magic Spells from the Harry Potter Series,Sadler Mars,4.12,634,8,"More than 200 charms, hexes, jinxes, and other fun spells from the Harry Potter universe. A fantastic gift for someone who loves Harry Potter, and has a sense of humor. (Some jokes in this book may not be suitable for children under the age of 13. Parental discretion is advised.)"
71,Calling All Witches! The Girls Who Left Their Mark on the Wizarding World (Harry Potter and Fantastic Beasts),"Laurie Calkhoven, Violet Tobacco",4.05,576,88,"For all the girls as clever as Hermione Granger, as strong as Leta Lestrange, and as fierce as Minerva McGonagall, this incredible compendium is packed with the stories of Harry Potter and Fantastic Beasts' extraordinary heroines! Besides the series' best-known characters, get to know the female mentors, founders, rule-breakers, and -- yes, even villains like Bellatrix"
72,The Deathly Hallows Lectures: The Hogwarts Professor Explains the Final Harry Potter Adventure,John Granger,4.29,589,44,"The fastest-selling book in publication history, HARRY POTTER AND THE DEATHLY HALLOWS was a critical success and is loved by fans around the world. In THE DEATHLY HALLOWS LECTURES, John Granger reveals the Potter finale's brilliant details, themes and meaning, and the answers to questions like these:* What five writing tricks does Joanne Rowling use to work her story"
73,So You Think You Know Harry Potter?: Over 1000 Wizard Quiz Questions,Clive Gifford,4.08,501,9,So You Think You Know Harry Potter is a trivia quiz book for fans of this young wizard.
74,The Unofficial Harry Potter Joke Book: Great Guffaws for Gryffindor,Brian Boone,3.6,295,25,Why did Voldemort cross the road? Because he looks like a demented chicken.Muggle world got you down? Dark Lord actively trying to end you? Horcrux fell in between the abyss that is your couch cushions? Need some laughter but havent learned the tickling charm yet? Dont worry; The Unofficial Harry Potter Joke Book is here to relieve some of the daily stresses that
75,Harry Potter and the Art of Spying,"Lynn M. Boughey, Peter Earnest",3.86,216,34,"The Harry Potter series is more than just a story about a young wizard who saves the world from He-Who-Must-Not-Be-Named. The seven-book saga is an excellent primer on spying, intelligence, and politics. Join spy novelist Lynn Boughey and thirty-six-year CIA veteran and executive director of the International Spy Museum Peter Earnest as they review the spy craft employed"
76,Reading Harry Potter: Critical Essays,Giselle Liza Anatol,4.31,457,9,"J. K. Rowling achieved astounding commercial success with her series of novels about Harry Potter, the boy-wizard who finds out about his magical powers on the morning of his eleventh birthday. The books' incredible popularity, and the subsequent likelihood that they are among this generation's most formative narratives, call for critical exploration and study to interpret"
77,The Wisdom of Harry Potter: What Our Favorite Hero Teaches Us About Moral Choices,Edmund M. Kern,4.28,536,11,"Since the 1997 release of J. K. Rowling's first novel - Harry Potter and the Sorcerer's Stone - no series of children's books has been more incredibly popular or widely influential. How do we explain the enormous appeal of these stories to children? Should parents welcome this new interest in reading among their kids or worry, along with the critics, that the books"
