거주지역별,성별,연령대별,항목,단위,2015 년,2016 년,2017 년,2018 년,2019 년
용산구,총계,70~79세,일반가구수,,,5866,5866,5863,5903
용산구,총계,80세이상,일반가구수,,,2368,2515,2666,2880
용산구,남자,총계,일반가구수,,,29434,28994,29114,28969
용산구,남자,30세미만,일반가구수,,,403,423,456,458
용산구,남자,30~39세,일반가구수,,,3439,3472,3511,3289
용산구,남자,40~49세,일반가구수,,,6760,6481,6215,5962
용산구,남자,50~59세,일반가구수,,,7546,7291,7365,7411
용산구,남자,60~69세,일반가구수,,,5926,5934,6090,6225
용산구,남자,70~79세,일반가구수,,,3957,3901,3902,3923
용산구,남자,80세이상,일반가구수,,,1403,1492,1575,1701
용산구,여자,총계,일반가구수,,,11747,12077,12438,12719
용산구,여자,30세미만,일반가구수,,,372,411,473,473
용산구,여자,30~39세,일반가구수,,,1497,1515,1627,1663
용산구,여자,40~49세,일반가구수,,,2317,2433,2472,2482
용산구,여자,50~59세,일반가구수,,,2470,2516,2568,2609
용산구,여자,60~69세,일반가구수,,,2217,2214,2246,2333
용산구,여자,70~79세,일반가구수,,,1909,1965,1961,1980
용산구,여자,80세이상,일반가구수,,,965,1023,1091,1179
성동구,총계,총계,일반가구수,,,53675,56272,58002,58386
성동구,총계,30세미만,일반가구수,,,898,994,1098,1126
성동구,총계,30~39세,일반가구수,,,7767,8306,8872,8649
성동구,총계,40~49세,일반가구수,,,12393,12934,12940,12817
성동구,총계,50~59세,일반가구수,,,13572,13896,14181,14204
성동구,총계,60~69세,일반가구수,,,10401,10842,11186,11410
성동구,총계,70~79세,일반가구수,,,6723,7171,7378,7539
성동구,총계,80세이상,일반가구수,,,1921,2129,2347,2641
성동구,남자,총계,일반가구수,,,40714,42084,42801,42538
성동구,남자,30세미만,일반가구수,,,491,539,579,597
성동구,남자,30~39세,일반가구수,,,5978,6231,6516,6222
성동구,남자,40~49세,일반가구수,,,9705,9938,9770,9546
성동구,남자,50~59세,일반가구수,,,10640,10780,10913,10801
성동구,남자,60~69세,일반가구수,,,7904,8230,8432,8576
성동구,남자,70~79세,일반가구수,,,4768,5017,5118,5146
성동구,남자,80세이상,일반가구수,,,1228,1349,1473,1650
성동구,여자,총계,일반가구수,,,12961,14188,15201,15848
성동구,여자,30세미만,일반가구수,,,407,455,519,529
성동구,여자,30~39세,일반가구수,,,1789,2075,2356,2427
성동구,여자,40~49세,일반가구수,,,2688,2996,3170,3271
성동구,여자,50~59세,일반가구수,,,2932,3116,3268,3403
성동구,여자,60~69세,일반가구수,,,2497,2612,2754,2834
성동구,여자,70~79세,일반가구수,,,1955,2154,2260,2393
성동구,여자,80세이상,일반가구수,,,693,780,874,991
광진구,총계,총계,일반가구수,,,61646,62582,62791,63336
광진구,총계,30세미만,일반가구수,,,1119,1186,1302,1334
광진구,총계,30~39세,일반가구수,,,7139,7249,7178,6839
광진구,총계,40~49세,일반가구수,,,14010,13867,13426,13118
광진구,총계,50~59세,일반가구수,,,16629,16538,16422,16375
광진구,총계,60~69세,일반가구수,,,12924,13293,13510,13970
광진구,총계,70~79세,일반가구수,,,7867,8227,8454,8791
광진구,총계,80세이상,일반가구수,,,1958,2222,2499,2909
광진구,남자,총계,일반가구수,,,46694,46680,46323,46240
광진구,남자,30세미만,일반가구수,,,575,574,631,648
광진구,남자,30~39세,일반가구수,,,5265,5170,5053,4674
광진구,남자,40~49세,일반가구수,,,10939,10691,10192,9878
광진구,남자,50~59세,일반가구수,,,12928,12701,12497,12376
광진구,남자,60~69세,일반가구수,,,9836,10032,10137,10408
광진구,남자,70~79세,일반가구수,,,5879,6064,6170,6339
광진구,남자,80세이상,일반가구수,,,1272,1448,1643,1917
광진구,여자,총계,일반가구수,,,14952,15902,16468,17096
광진구,여자,30세미만,일반가구수,,,544,612,671,686
광진구,여자,30~39세,일반가구수,,,1874,2079,2125,2165
광진구,여자,40~49세,일반가구수,,,3071,3176,3234,3240
광진구,여자,50~59세,일반가구수,,,3701,3837,3925,3999
광진구,여자,60~69세,일반가구수,,,3088,3261,3373,3562
광진구,여자,70~79세,일반가구수,,,1988,2163,2284,2452
광진구,여자,80세이상,일반가구수,,,686,774,856,992
동대문구,총계,총계,일반가구수,,,66503,66868,67563,67887
동대문구,총계,30세미만,일반가구수,,,1150,1229,1329,1428
동대문구,총계,30~39세,일반가구수,,,7823,7814,7900,7650
동대문구,총계,40~49세,일반가구수,,,14191,13953,13777,13661
동대문구,총계,50~59세,일반가구수,,,16587,16361,16201,15986
동대문구,총계,60~69세,일반가구수,,,14386,14381,14639,14990
동대문구,총계,70~79세,일반가구수,,,9712,10140,10390,10493
동대문구,총계,80세이상,일반가구수,,,2654,2990,3327,3679
동대문구,남자,총계,일반가구수,,,50137,49603,49456,49013
동대문구,남자,30세미만,일반가구수,,,630,672,696,740
동대문구,남자,30~39세,일반가구수,,,6001,5825,5822,5531
동대문구,남자,40~49세,일반가구수,,,11197,10804,10500,10274
동대문구,남자,50~59세,일반가구수,,,12853,12536,12284,11939
동대문구,남자,60~69세,일반가구수,,,10849,10741,10830,10977
동대문구,남자,70~79세,일반가구수,,,6866,7083,7158,7192
동대문구,남자,80세이상,일반가구수,,,1741,1942,2166,2360
동대문구,여자,총계,일반가구수,,,16366,17265,18107,18874
동대문구,여자,30세미만,일반가구수,,,520,557,633,688
동대문구,여자,30~39세,일반가구수,,,1822,1989,2078,2119
동대문구,여자,40~49세,일반가구수,,,2994,3149,3277,3387
동대문구,여자,50~59세,일반가구수,,,3734,3825,3917,4047
동대문구,여자,60~69세,일반가구수,,,3537,3640,3809,4013
동대문구,여자,70~79세,일반가구수,,,2846,3057,3232,3301
동대문구,여자,80세이상,일반가구수,,,913,1048,1161,1319
중랑구,총계,총계,일반가구수,,,73758,74906,75873,75835
중랑구,총계,30세미만,일반가구수,,,992,1082,1130,1109
중랑구,총계,30~39세,일반가구수,,,8533,8503,8580,7887
중랑구,총계,40~49세,일반가구수,,,14951,14850,14295,13812
중랑구,총계,50~59세,일반가구수,,,20347,20117,20015,19641
중랑구,총계,60~69세,일반가구수,,,16820,17251,17741,18350
중랑구,총계,70~79세,일반가구수,,,9968,10594,11210,11644
중랑구,총계,80세이상,일반가구수,,,2147,2509,2902,3392
중랑구,남자,총계,일반가구수,,,56002,55988,55954,55158
중랑구,남자,30세미만,일반가구수,,,547,591,585,543
중랑구,남자,30~39세,일반가구수,,,6657,6471,6414,5733
중랑구,남자,40~49세,일반가구수,,,11601,11345,10867,10413
중랑구,남자,50~59세,일반가구수,,,15574,15218,14898,14407
중랑구,남자,60~69세,일반가구수,,,12878,13033,13267,13584
중랑구,남자,70~79세,일반가구수,,,7297,7631,7983,8213
중랑구,남자,80세이상,일반가구수,,,1448,1699,1940,2265
중랑구,여자,총계,일반가구수,,,17756,18918,19919,20677
중랑구,여자,30세미만,일반가구수,,,445,491,545,566
중랑구,여자,30~39세,일반가구수,,,1876,2032,2166,2154
중랑구,여자,40~49세,일반가구수,,,3350,3505,3428,3399
중랑구,여자,50~59세,일반가구수,,,4773,4899,5117,5234
중랑구,여자,60~69세,일반가구수,,,3942,4218,4474,4766
중랑구,여자,70~79세,일반가구수,,,2671,2963,3227,3431
중랑구,여자,80세이상,일반가구수,,,699,810,962,1127
성북구,총계,총계,일반가구수,,,88797,89109,88909,90644
성북구,총계,30세미만,일반가구수,,,1344,1379,1461,1550
성북구,총계,30~39세,일반가구수,,,10330,10157,10047,9840
성북구,총계,40~49세,일반가구수,,,21801,21438,20677,20353
성북구,총계,50~59세,일반가구수,,,22068,21941,21894,22489
성북구,총계,60~69세,일반가구수,,,17809,17985,18126,18747
성북구,총계,70~79세,일반가구수,,,12061,12432,12552,12871
성북구,총계,80세이상,일반가구수,,,3384,3777,4152,4794
성북구,남자,총계,일반가구수,,,67449,66974,65991,66485
성북구,남자,30세미만,일반가구수,,,690,718,764,776
성북구,남자,30~39세,일반가구수,,,8012,7755,7513,7204
성북구,남자,40~49세,일반가구수,,,17522,16987,16109,15608
성북구,남자,50~59세,일반가구수,,,17138,16895,16682,17048
성북구,남자,60~69세,일반가구수,,,13390,13438,13516,13930
성북구,남자,70~79세,일반가구수,,,8540,8781,8779,8892
성북구,남자,80세이상,일반가구수,,,2157,2400,2628,3027
성북구,여자,총계,일반가구수,,,21348,22135,22918,24159
성북구,여자,30세미만,일반가구수,,,654,661,697,774
성북구,여자,30~39세,일반가구수,,,2318,2402,2534,2636
성북구,여자,40~49세,일반가구수,,,4279,4451,4568,4745
성북구,여자,50~59세,일반가구수,,,4930,5046,5212,5441
성북구,여자,60~69세,일반가구수,,,4419,4547,4610,4817
성북구,여자,70~79세,일반가구수,,,3521,3651,3773,3979
성북구,여자,80세이상,일반가구수,,,1227,1377,1524,1767
강북구,총계,총계,일반가구수,,,62399,63306,63719,63635
강북구,총계,30세미만,일반가구수,,,769,852,967,921
강북구,총계,30~39세,일반가구수,,,6439,6300,6131,5573
강북구,총계,40~49세,일반가구수,,,12703,12603,12287,11818
강북구,총계,50~59세,일반가구수,,,16055,15863,15804,15568
강북구,총계,60~69세,일반가구수,,,14175,14527,14680,15037
강북구,총계,70~79세,일반가구수,,,9840,10395,10666,11039
강북구,총계,80세이상,일반가구수,,,2418,2766,3184,3679
강북구,남자,총계,일반가구수,,,45653,45633,45282,44659
강북구,남자,30세미만,일반가구수,,,414,452,508,458
강북구,남자,30~39세,일반가구수,,,4835,4630,4482,4034
강북구,남자,40~49세,일반가구수,,,9768,9511,9131,8675
강북구,남자,50~59세,일반가구수,,,11861,11607,11452,11141
강북구,남자,60~69세,일반가구수,,,10268,10413,10386,10583
강북구,남자,70~79세,일반가구수,,,6878,7163,7213,7374
강북구,남자,80세이상,일반가구수,,,1629,1857,2110,2394
강북구,여자,총계,일반가구수,,,16746,17673,18437,18976
강북구,여자,30세미만,일반가구수,,,355,400,459,463
강북구,여자,30~39세,일반가구수,,,1604,1670,1649,1539
강북구,여자,40~49세,일반가구수,,,2935,3092,3156,3143
강북구,여자,50~59세,일반가구수,,,4194,4256,4352,4427
강북구,여자,60~69세,일반가구수,,,3907,4114,4294,4454
강북구,여자,70~79세,일반가구수,,,2962,3232,3453,3665
강북구,여자,80세이상,일반가구수,,,789,909,1074,1285
도봉구,총계,총계,일반가구수,,,76831,77312,77766,77721
도봉구,총계,30세미만,일반가구수,,,820,876,924,882
도봉구,총계,30~39세,일반가구수,,,7766,7557,7346,6691
도봉구,총계,40~49세,일반가구수,,,16400,15888,15170,14481
도봉구,총계,50~59세,일반가구수,,,21737,21205,20836,20408
도봉구,총계,60~69세,일반가구수,,,17108,17776,18429,19152
도봉구,총계,70~79세,일반가구수,,,10157,10768,11393,11883
도봉구,총계,80세이상,일반가구수,,,2843,3242,3668,4224
도봉구,남자,총계,일반가구수,,,57693,57316,56871,56183
도봉구,남자,30세미만,일반가구수,,,467,482,499,468
도봉구,남자,30~39세,일반가구수,,,6055,5803,5531,4977
도봉구,남자,40~49세,일반가구수,,,12859,12304,11633,11029
도봉구,남자,50~59세,일반가구수,,,16517,15898,15464,14983
도봉구,남자,60~69세,일반가구수,,,12895,13294,13614,13979
도봉구,남자,70~79세,일반가구수,,,7173,7549,7910,8187
도봉구,남자,80세이상,일반가구수,,,1727,1986,2220,2560
도봉구,여자,총계,일반가구수,,,19138,19996,20895,21538
도봉구,여자,30세미만,일반가구수,,,353,394,425,414
도봉구,여자,30~39세,일반가구수,,,1711,1754,1815,1714
도봉구,여자,40~49세,일반가구수,,,3541,3584,3537,3452
도봉구,여자,50~59세,일반가구수,,,5220,5307,5372,5425
도봉구,여자,60~69세,일반가구수,,,4213,4482,4815,5173
도봉구,여자,70~79세,일반가구수,,,2984,3219,3483,3696
도봉구,여자,80세이상,일반가구수,,,1116,1256,1448,1664
노원구,총계,총계,일반가구수,,,114690,113169,113291,112500
노원구,총계,30세미만,일반가구수,,,1255,1273,1379,1335
노원구,총계,30~39세,일반가구수,,,12439,11842,11466,10580
노원구,총계,40~49세,일반가구수,,,30818,29415,28027,26430
노원구,총계,50~59세,일반가구수,,,32802,31827,31655,31370
노원구,총계,60~69세,일반가구수,,,21857,22392,23269,24125
노원구,총계,70~79세,일반가구수,,,11804,12365,12963,13583
노원구,총계,80세이상,일반가구수,,,3715,4055,4532,5077
노원구,남자,총계,일반가구수,,,87630,85318,84281,82509
노원구,남자,30세미만,일반가구수,,,705,696,758,715
노원구,남자,30~39세,일반가구수,,,9680,9088,8628,7743
노원구,남자,40~49세,일반가구수,,,24835,23347,21937,20472
노원구,남자,50~59세,일반가구수,,,26055,24997,24702,24291
노원구,남자,60~69세,일반가구수,,,16479,16756,17273,17714
노원구,남자,70~79세,일반가구수,,,7811,8176,8520,8838
노원구,남자,80세이상,일반가구수,,,2065,2258,2463,2736
노원구,여자,총계,일반가구수,,,27060,27851,29010,29991
노원구,여자,30세미만,일반가구수,,,550,577,621,620
노원구,여자,30~39세,일반가구수,,,2759,2754,2838,2837
노원구,여자,40~49세,일반가구수,,,5983,6068,6090,5958
노원구,여자,50~59세,일반가구수,,,6747,6830,6953,7079
노원구,여자,60~69세,일반가구수,,,5378,5636,5996,6411
노원구,여자,70~79세,일반가구수,,,3993,4189,4443,4745
노원구,여자,80세이상,일반가구수,,,1650,1797,2069,2341
은평구,총계,총계,일반가구수,,,96899,97275,98319,99004
은평구,총계,30세미만,일반가구수,,,1433,1486,1542,1568
은평구,총계,30~39세,일반가구수,,,12192,11871,11774,11123
은평구,총계,40~49세,일반가구수,,,22266,21966,21382,20738
은평구,총계,50~59세,일반가구수,,,24992,24648,24684,24769
은평구,총계,60~69세,일반가구수,,,19972,20180,20768,21546
은평구,총계,70~79세,일반가구수,,,12776,13394,13927,14398
은평구,총계,80세이상,일반가구수,,,3268,3730,4242,4862
은평구,남자,총계,일반가구수,,,71353,70490,70249,69730
은평구,남자,30세미만,일반가구수,,,792,812,805,809
은평구,남자,30~39세,일반가구수,,,9281,8863,8560,7948
은평구,남자,40~49세,일반가구수,,,17056,16639,15909,15194
은평구,남자,50~59세,일반가구수,,,18569,17995,17886,17759
은평구,남자,60~69세,일반가구수,,,14524,14478,14783,15132
은평구,남자,70~79세,일반가구수,,,8985,9266,9555,9756
은평구,남자,80세이상,일반가구수,,,2146,2437,2751,3132
은평구,여자,총계,일반가구수,,,25546,26785,28070,29274
은평구,여자,30세미만,일반가구수,,,641,674,737,759
은평구,여자,30~39세,일반가구수,,,2911,3008,3214,3175
은평구,여자,40~49세,일반가구수,,,5210,5327,5473,5544
은평구,여자,50~59세,일반가구수,,,6423,6653,6798,7010
은평구,여자,60~69세,일반가구수,,,5448,5702,5985,6414
은평구,여자,70~79세,일반가구수,,,3791,4128,4372,4642
은평구,여자,80세이상,일반가구수,,,1122,1293,1491,1730
서대문구,총계,총계,일반가구수,,,61359,62326,62499,63638
서대문구,총계,30세미만,일반가구수,,,1163,1197,1351,1326
서대문구,총계,30~39세,일반가구수,,,7177,7295,7256,7240
서대문구,총계,40~49세,일반가구수,,,13748,13936,13439,13441
서대문구,총계,50~59세,일반가구수,,,15705,15779,15689,15755
서대문구,총계,60~69세,일반가구수,,,12100,12102,12457,12965
서대문구,총계,70~79세,일반가구수,,,8827,9030,9026,9200
서대문구,총계,80세이상,일반가구수,,,2639,2987,3281,3711
서대문구,남자,총계,일반가구수,,,45009,45029,44658,44974
서대문구,남자,30세미만,일반가구수,,,600,614,664,620
서대문구,남자,30~39세,일반가구수,,,5243,5266,5168,5040
서대문구,남자,40~49세,일반가구수,,,10514,10401,9958,9906
서대문구,남자,50~59세,일반가구수,,,11968,11852,11667,11569
서대문구,남자,60~69세,일반가구수,,,8823,8783,8977,9339
서대문구,남자,70~79세,일반가구수,,,6126,6177,6137,6161
서대문구,남자,80세이상,일반가구수,,,1735,1936,2087,2339
서대문구,여자,총계,일반가구수,,,16350,17297,17841,18664
서대문구,여자,30세미만,일반가구수,,,563,583,687,706
서대문구,여자,30~39세,일반가구수,,,1934,2029,2088,2200
서대문구,여자,40~49세,일반가구수,,,3234,3535,3481,3535
서대문구,여자,50~59세,일반가구수,,,3737,3927,4022,4186
서대문구,여자,60~69세,일반가구수,,,3277,3319,3480,3626
서대문구,여자,70~79세,일반가구수,,,2701,2853,2889,3039
서대문구,여자,80세이상,일반가구수,,,904,1051,1194,1372
마포구,총계,총계,일반가구수,,,69477,69265,69844,70161
마포구,총계,30세미만,일반가구수,,,1431,1540,1623,1645
마포구,총계,30~39세,일반가구수,,,10308,10207,10225,9771
마포구,총계,40~49세,일반가구수,,,17437,17184,16948,16520
마포구,총계,50~59세,일반가구수,,,17029,16693,16810,17050
마포구,총계,60~69세,일반가구수,,,12154,12180,12425,12852
마포구,총계,70~79세,일반가구수,,,8438,8467,8577,8699
마포구,총계,80세이상,일반가구수,,,2680,2994,3236,3624
마포구,남자,총계,일반가구수,,,50999,50160,49919,49617
마포구,남자,30세미만,일반가구수,,,699,768,759,788
마포구,남자,30~39세,일반가구수,,,7465,7244,7050,6565
마포구,남자,40~49세,일반가구수,,,13286,12768,12477,12056
마포구,남자,50~59세,일반가구수,,,13003,12685,12655,12753
마포구,남자,60~69세,일반가구수,,,8967,8918,9074,9323
마포구,남자,70~79세,일반가구수,,,5843,5856,5856,5874
마포구,남자,80세이상,일반가구수,,,1736,1921,2048,2258
마포구,여자,총계,일반가구수,,,18478,19105,19925,20544
마포구,여자,30세미만,일반가구수,,,732,772,864,857
마포구,여자,30~39세,일반가구수,,,2843,2963,3175,3206
마포구,여자,40~49세,일반가구수,,,4151,4416,4471,4464
마포구,여자,50~59세,일반가구수,,,4026,4008,4155,4297
마포구,여자,60~69세,일반가구수,,,3187,3262,3351,3529
마포구,여자,70~79세,일반가구수,,,2595,2611,2721,2825
마포구,여자,80세이상,일반가구수,,,944,1073,1188,1366
양천구,총계,총계,일반가구수,,,93927,93837,93816,93766
양천구,총계,30세미만,일반가구수,,,984,994,1038,990
양천구,총계,30~39세,일반가구수,,,10088,9911,9708,8921
양천구,총계,40~49세,일반가구수,,,24969,24183,23070,22316
양천구,총계,50~59세,일반가구수,,,27932,27455,27153,26917
양천구,총계,60~69세,일반가구수,,,18823,19338,19811,20456
양천구,총계,70~79세,일반가구수,,,8783,9407,10166,10910
양천구,총계,80세이상,일반가구수,,,2348,2549,2870,3256
양천구,남자,총계,일반가구수,,,73765,72699,71787,71127
양천구,남자,30세미만,일반가구수,,,553,538,551,505
양천구,남자,30~39세,일반가구수,,,7850,7562,7239,6537
양천구,남자,40~49세,일반가구수,,,20406,19476,18380,17546
양천구,남자,50~59세,일반가구수,,,22601,21940,21517,21336
양천구,남자,60~69세,일반가구수,,,14705,14934,15133,15538
양천구,남자,70~79세,일반가구수,,,6251,6739,7282,7760
양천구,남자,80세이상,일반가구수,,,1399,1510,1685,1905
양천구,여자,총계,일반가구수,,,20162,21138,22029,22639
양천구,여자,30세미만,일반가구수,,,431,456,487,485
양천구,여자,30~39세,일반가구수,,,2238,2349,2469,2384
양천구,여자,40~49세,일반가구수,,,4563,4707,4690,4770
양천구,여자,50~59세,일반가구수,,,5331,5515,5636,5581
양천구,여자,60~69세,일반가구수,,,4118,4404,4678,4918
양천구,여자,70~79세,일반가구수,,,2532,2668,2884,3150
양천구,여자,80세이상,일반가구수,,,949,1039,1185,1351
강서구,총계,총계,일반가구수,,,109479,111908,112757,112320
강서구,총계,30세미만,일반가구수,,,1779,1961,2082,2059
강서구,총계,30~39세,일반가구수,,,16462,16680,16571,15222
강서구,총계,40~49세,일반가구수,,,25811,25927,25332,24759
강서구,총계,50~59세,일반가구수,,,29546,29133,28776,28051
강서구,총계,60~69세,일반가구수,,,22480,23399,23880,24812
강서구,총계,70~79세,일반가구수,,,10646,11733,12623,13436
강서구,총계,80세이상,일반가구수,,,2755,3075,3493,3981
강서구,남자,총계,일반가구수,,,83207,83908,83390,82117
강서구,남자,30세미만,일반가구수,,,962,1011,1041,964
강서구,남자,30~39세,일반가구수,,,12716,12597,12223,11014
강서구,남자,40~49세,일반가구수,,,20365,20261,19620,18956
강서구,남자,50~59세,일반가구수,,,22620,22013,21561,20907
강서구,남자,60~69세,일반가구수,,,17152,17673,17738,18249
강서구,남자,70~79세,일반가구수,,,7709,8487,9076,9606
강서구,남자,80세이상,일반가구수,,,1683,1866,2131,2421
강서구,여자,총계,일반가구수,,,26272,28000,29367,30203
강서구,여자,30세미만,일반가구수,,,817,950,1041,1095
강서구,여자,30~39세,일반가구수,,,3746,4083,4348,4208
강서구,여자,40~49세,일반가구수,,,5446,5666,5712,5803
강서구,여자,50~59세,일반가구수,,,6926,7120,7215,7144
강서구,여자,60~69세,일반가구수,,,5328,5726,6142,6563
강서구,여자,70~79세,일반가구수,,,2937,3246,3547,3830
강서구,여자,80세이상,일반가구수,,,1072,1209,1362,1560
구로구,총계,총계,일반가구수,,,84798,85073,85486,86379
구로구,총계,30세미만,일반가구수,,,1090,1106,1187,1262
구로구,총계,30~39세,일반가구수,,,11662,11158,10756,10274
